location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Portugal,2021-01-01,10,14,0.0,0.0,0.0
Portugal,2021-01-01,15,17,0.0,0.0,0.0
Portugal,2021-01-01,18,24,0.02,0.0,0.0
Portugal,2021-01-01,25,49,0.1,0.0,0.0
Portugal,2021-01-01,50,59,0.08,0.0,0.0
Portugal,2021-01-01,60,69,0.04,0.0,0.0
Portugal,2021-01-01,70,79,0.0,0.0,0.0
Portugal,2021-01-01,80,,0.0,0.0,0.0
Portugal,2021-01-08,0,4,0.0,0.0,0.0
Portugal,2021-01-08,10,14,0.0,0.0,0.0
Portugal,2021-01-08,15,17,0.0,0.0,0.0
Portugal,2021-01-08,18,24,0.42,0.0,0.0
Portugal,2021-01-08,25,49,1.58,0.0,0.0
Portugal,2021-01-08,5,9,0.0,0.0,0.0
Portugal,2021-01-08,50,59,1.12,0.0,0.0
Portugal,2021-01-08,60,69,0.6,0.0,0.0
Portugal,2021-01-08,70,79,0.12,0.0,0.0
Portugal,2021-01-08,80,,0.6,0.0,0.0
Portugal,2021-01-15,10,14,0.0,0.0,0.0
Portugal,2021-01-15,15,17,0.01,0.0,0.0
Portugal,2021-01-15,18,24,0.61,0.01,0.0
Portugal,2021-01-15,25,49,2.09,0.03,0.0
Portugal,2021-01-15,5,9,0.0,0.0,0.0
Portugal,2021-01-15,50,59,1.69,0.02,0.0
Portugal,2021-01-15,60,69,1.0,0.01,0.0
Portugal,2021-01-15,70,79,0.49,0.0,0.0
Portugal,2021-01-15,80,,2.73,0.0,0.0
Portugal,2021-01-22,10,14,0.01,0.0,0.0
Portugal,2021-01-22,15,17,0.03,0.0,0.0
Portugal,2021-01-22,18,24,1.11,0.16,0.0
Portugal,2021-01-22,25,49,3.24,0.68,0.01
Portugal,2021-01-22,5,9,0.0,0.0,0.0
Portugal,2021-01-22,50,59,3.05,0.45,0.0
Portugal,2021-01-22,60,69,1.9,0.24,0.0
Portugal,2021-01-22,70,79,1.5,0.02,0.0
Portugal,2021-01-22,80,,8.48,0.04,0.0
Portugal,2021-01-29,0,4,0.0,0.0,0.0
Portugal,2021-01-29,10,14,0.01,0.0,0.0
Portugal,2021-01-29,15,17,0.04,0.0,0.0
Portugal,2021-01-29,18,24,1.3,0.37,0.01
Portugal,2021-01-29,25,49,3.73,1.46,0.02
Portugal,2021-01-29,5,9,0.0,0.0,0.0
Portugal,2021-01-29,50,59,3.57,1.06,0.01
Portugal,2021-01-29,60,69,2.32,0.58,0.01
Portugal,2021-01-29,70,79,1.95,0.11,0.0
Portugal,2021-01-29,80,,9.57,0.52,0.02
Portugal,2021-02-05,10,14,0.01,0.0,0.0
Portugal,2021-02-05,15,17,0.05,0.0,0.0
Portugal,2021-02-05,18,24,1.43,0.47,0.03
Portugal,2021-02-05,25,49,4.05,1.8,0.06
Portugal,2021-02-05,5,9,0.0,0.0,0.0
Portugal,2021-02-05,50,59,3.85,1.46,0.05
Portugal,2021-02-05,60,69,2.53,0.87,0.03
Portugal,2021-02-05,70,79,2.14,0.33,0.05
Portugal,2021-02-05,80,,10.25,1.82,0.29
Portugal,2021-02-12,10,14,0.01,0.0,0.0
Portugal,2021-02-12,15,17,0.06,0.02,0.0
Portugal,2021-02-12,18,24,1.63,0.81,0.08
Portugal,2021-02-12,25,49,4.47,2.64,0.16
Portugal,2021-02-12,5,9,0.0,0.0,0.0
Portugal,2021-02-12,50,59,4.2,2.42,0.19
Portugal,2021-02-12,60,69,2.76,1.52,0.12
Portugal,2021-02-12,70,79,2.45,0.99,0.2
Portugal,2021-02-12,80,,12.45,5.54,1.22
Portugal,2021-02-19,10,14,0.01,0.0,0.0
Portugal,2021-02-19,15,17,0.07,0.03,0.0
Portugal,2021-02-19,18,24,1.93,1.02,0.1
Portugal,2021-02-19,25,49,5.15,3.17,0.2
Portugal,2021-02-19,5,9,0.0,0.0,0.0
Portugal,2021-02-19,50,59,5.09,3.0,0.23
Portugal,2021-02-19,60,69,3.86,1.96,0.15
Portugal,2021-02-19,70,79,2.75,1.43,0.25
Portugal,2021-02-19,80,,19.59,6.65,1.48
Portugal,2021-02-26,10,14,0.01,0.0,0.0
Portugal,2021-02-26,15,17,0.08,0.04,0.0
Portugal,2021-02-26,18,24,2.11,1.1,0.12
Portugal,2021-02-26,25,49,5.52,3.38,0.22
Portugal,2021-02-26,5,9,0.01,0.0,0.0
Portugal,2021-02-26,50,59,6.97,3.23,0.26
Portugal,2021-02-26,60,69,6.02,2.12,0.17
Portugal,2021-02-26,70,79,3.33,1.58,0.27
Portugal,2021-02-26,80,,34.67,7.3,1.61
Portugal,2021-03-05,10,14,0.01,0.0,0.0
Portugal,2021-03-05,15,17,0.09,0.04,0.01
Portugal,2021-03-05,18,24,2.23,1.23,0.13
Portugal,2021-03-05,25,49,5.76,3.67,0.24
Portugal,2021-03-05,50,59,8.19,3.51,0.28
Portugal,2021-03-05,60,69,7.41,2.32,0.18
Portugal,2021-03-05,70,79,4.15,1.84,0.3
Portugal,2021-03-05,80,,47.5,9.06,1.74
Portugal,2021-03-12,10,14,0.01,0.0,0.0
Portugal,2021-03-12,15,17,0.09,0.05,0.01
Portugal,2021-03-12,18,24,2.42,1.3,0.14
Portugal,2021-03-12,25,49,6.28,3.84,0.26
Portugal,2021-03-12,5,9,0.01,0.0,0.0
Portugal,2021-03-12,50,59,9.16,3.7,0.3
Portugal,2021-03-12,60,69,8.44,2.47,0.19
Portugal,2021-03-12,70,79,5.38,2.1,0.32
Portugal,2021-03-12,80,,53.44,14.42,1.88
Portugal,2021-03-19,15,17,0.1,0.06,0.01
Portugal,2021-03-19,18,24,2.47,1.35,0.14
Portugal,2021-03-19,25,49,6.44,3.94,0.27
Portugal,2021-03-19,5,9,0.01,0.0,0.0
Portugal,2021-03-19,50,59,9.41,3.81,0.3
Portugal,2021-03-19,60,69,8.79,2.67,0.2
Portugal,2021-03-19,70,79,7.01,2.6,0.33
Portugal,2021-03-19,80,,61.45,28.66,1.96
Portugal,2021-03-26,10,14,0.01,0.0,0.0
Portugal,2021-03-26,15,17,0.11,0.06,0.01
Portugal,2021-03-26,18,24,2.9,1.38,0.15
Portugal,2021-03-26,25,49,7.74,4.0,0.27
Portugal,2021-03-26,50,59,11.09,3.86,0.31
Portugal,2021-03-26,60,69,10.31,2.79,0.21
Portugal,2021-03-26,70,79,11.45,2.72,0.34
Portugal,2021-03-26,80,,79.75,31.15,1.97
Portugal,2021-04-02,10,14,0.01,0.0,0.0
Portugal,2021-04-02,15,17,0.11,0.07,0.01
Portugal,2021-04-02,18,24,3.0,1.39,0.15
Portugal,2021-04-02,25,49,7.91,4.05,0.28
Portugal,2021-04-02,50,59,11.45,3.91,0.31
Portugal,2021-04-02,60,69,11.98,2.94,0.21
Portugal,2021-04-02,70,79,18.53,3.33,0.34
Portugal,2021-04-02,80,,85.16,42.22,2.01
Portugal,2021-04-09,10,14,0.01,0.0,0.0
Portugal,2021-04-09,15,17,0.13,0.07,0.01
