location,date,vaccine,total_vaccinations
Peru,2022-03-26,Moderna,2
Peru,2022-03-27,Moderna,7
Peru,2022-03-28,Moderna,13
Peru,2022-03-29,Moderna,15
Peru,2022-03-30,Moderna,26
Peru,2022-03-31,Moderna,34
Peru,2022-04-01,Moderna,46
Peru,2022-04-02,Moderna,291
Peru,2022-04-03,Moderna,1214
Peru,2022-04-04,Moderna,2039
Peru,2022-04-05,Moderna,2218
Peru,2022-04-06,Moderna,4328
Peru,2022-04-07,Moderna,7907
Peru,2022-04-08,Moderna,11555
Peru,2022-04-09,Moderna,16310
Peru,2022-04-10,Moderna,18481
Peru,2022-04-11,Moderna,27613
Peru,2022-04-12,Moderna,37027
Peru,2022-04-13,Moderna,49703
Peru,2022-04-14,Moderna,51840
Peru,2022-04-15,Moderna,53321
Peru,2022-04-16,Moderna,58150
Peru,2022-04-17,Moderna,60460
Peru,2022-04-18,Moderna,72675
Peru,2022-04-19,Moderna,85288
Peru,2022-04-20,Moderna,98774
Peru,2022-04-21,Moderna,112234
Peru,2022-04-22,Moderna,125707
Peru,2022-04-23,Moderna,134262
Peru,2022-04-24,Moderna,139046
Peru,2022-04-25,Moderna,146981
Peru,2022-04-26,Moderna,156537
Peru,2022-04-27,Moderna,167450
Peru,2022-04-28,Moderna,178640
Peru,2022-04-29,Moderna,191202
Peru,2022-04-30,Moderna,204286
Peru,2022-05-01,Moderna,208393
Peru,2022-05-02,Moderna,218449
Peru,2022-05-03,Moderna,230373
Peru,2022-05-04,Moderna,242642
Peru,2022-05-05,Moderna,255507
Peru,2022-05-06,Moderna,273477
Peru,2022-05-07,Moderna,290849
Peru,2022-05-08,Moderna,294040
Peru,2022-05-09,Moderna,318277
Peru,2022-05-10,Moderna,348241
Peru,2022-05-11,Moderna,376465
Peru,2022-05-12,Moderna,402082
Peru,2022-05-13,Moderna,426960
Peru,2022-05-14,Moderna,454088
Peru,2022-05-15,Moderna,470430
Peru,2022-05-16,Moderna,493686
Peru,2022-05-17,Moderna,519460
Peru,2022-05-18,Moderna,546666
Peru,2022-05-19,Moderna,572254
Peru,2022-05-20,Moderna,598505
Peru,2022-05-21,Moderna,631572
Peru,2022-05-22,Moderna,654338
Peru,2022-05-23,Moderna,684360
Peru,2022-05-24,Moderna,715453
Peru,2022-05-25,Moderna,745985
Peru,2022-05-26,Moderna,773523
Peru,2022-05-27,Moderna,803223
Peru,2022-05-28,Moderna,839492
Peru,2022-05-29,Moderna,867255
Peru,2022-05-30,Moderna,896221
Peru,2022-05-31,Moderna,922385
Peru,2022-06-01,Moderna,946180
Peru,2022-06-02,Moderna,973241
Peru,2022-06-03,Moderna,1002572
Peru,2022-06-04,Moderna,1037775
Peru,2022-06-05,Moderna,1061897
Peru,2022-06-06,Moderna,1090869
Peru,2022-06-07,Moderna,1122518
Peru,2022-06-08,Moderna,1154894
Peru,2022-06-09,Moderna,1187857
Peru,2022-06-10,Moderna,1220994
Peru,2022-06-11,Moderna,1258503
Peru,2022-06-12,Moderna,1286853
Peru,2022-06-13,Moderna,1305743
Peru,2022-06-14,Moderna,1337290
Peru,2022-06-15,Moderna,1371343
Peru,2022-06-16,Moderna,1412286
